customer_id,signup_date,region,membership_plan,acquisition_channel,account_status,created_at,updated_at,is_deleted
cus_00000001,2022-04-30,midwest,basic,referral,active,2022-04-30T09:13:46.000000Z,2022-04-30T09:13:46.000000Z,false
cus_00000002,2024-11-12,northeast,basic,employer,active,2024-11-12T20:38:34.000000Z,2024-11-12T20:38:34.000000Z,false
cus_00000003,2023-02-07,south,premium,paid_search,active,2023-02-07T04:42:20.000000Z,2023-02-07T04:42:20.000000Z,false
cus_00000004,2025-02-02,midwest,premium,organic,active,2025-02-02T18:50:15.000000Z,2025-02-02T18:50:15.000000Z,false
cus_00000005,2022-08-02,northeast,basic,organic,active,2022-08-02T22:50:42.000000Z,2022-08-02T22:50:42.000000Z,false
cus_00000006,2025-11-26,south,premium,paid_search,active,2025-11-26T07:43:36.000000Z,2025-11-26T07:43:36.000000Z,false
cus_00000007,2026-09-04,west,basic,organic,active,2026-09-04T20:38:20.000000Z,2026-09-04T20:38:20.000000Z,false
cus_00000008,2024-02-22,midwest,basic,organic,active,2024-02-22T11:45:58.000000Z,2024-02-22T11:45:58.000000Z,false
cus_00000009,2023-11-27,northeast,basic,organic,active,2023-11-27T15:42:29.000000Z,2023-11-27T15:42:29.000000Z,false
cus_00000010,2026-08-22,northeast,basic,organic,active,2026-08-22T12:11:03.000000Z,2026-08-22T12:11:03.000000Z,false
cus_00000011,2023-06-18,south,premium,organic,active,2023-06-18T20:25:19.000000Z,2023-06-18T20:25:19.000000Z,false
cus_00000012,2025-05-01,west,premium,referral,active,2025-05-01T15:42:12.000000Z,2025-05-01T15:42:12.000000Z,false
cus_00000013,2023-08-06,northeast,basic,referral,suspended,2023-08-06T08:40:59.000000Z,2023-08-06T08:40:59.000000Z,false
cus_00000014,2026-01-10,south,basic,organic,active,2026-01-10T19:02:44.000000Z,2026-01-10T19:02:44.000000Z,false
cus_00000015,2023-07-11,midwest,basic,referral,active,2023-07-11T06:47:11.000000Z,2023-07-11T06:47:11.000000Z,false
